326418055	ACC	0.58298814	9.730036	2.3762453
326418066	ACC	0.6332663	9.617508	2.100912
326418076	ACC	0.7158663	9.712079	1.8602947
326418086	ACC	0.81881696	9.688137	1.6603789
326418095	ACC	1.0019734	9.667787	1.5179238
326418106	ACC	1.1492168	9.615114	1.2988545
326418116	ACC	1.2533646	9.545682	1.1528081
326418125	ACC	1.2737153	9.536105	1.0498575
326418136	ACC	1.2617443	9.526528	1.0510546
326418146	ACC	1.2006922	9.554062	1.1611878
326418156	ACC	1.1959038	9.568427	1.1994951
326418166	ACC	1.1444284	9.5732155	1.1959038
326418176	ACC	0.9888053	9.600749	1.2389994
326418186	ACC	0.8319851	9.639056	1.3335704
326418195	ACC	0.80804306	9.642648	1.2773066
326418206	ACC	0.91817635	9.645041	1.270124
326418216	ACC	1.0402806	9.633071	1.2437878
326418225	ACC	1.198298	9.592369	1.2054806
326418235	ACC	1.2785037	9.544485	1.234211
326418245	ACC	1.2210429	9.528923	1.1683705
326418256	ACC	1.1240777	9.55047	1.1695676
326418266	ACC	1.0295067	9.595961	1.2138603
326418275	ACC	0.94211835	9.605537	1.2785037
326418285	ACC	0.9696517	9.621099	1.2545617
326418295	ACC	0.93732995	9.640253	1.3862427
326418306	ACC	0.91219085	9.646238	1.4556746
326418315	ACC	0.9696517	9.643845	1.5107412
326418325	ACC	1.0019734	9.624691	1.508347
326418335	ACC	1.0055647	9.603143	1.567005
326418345	ACC	1.0618285	9.629479	1.567005
326418356	ACC	1.0378864	9.633071	1.4903905
326418366	ACC	1.0498575	9.654618	1.4077905
326418375	ACC	1.021127	9.64983	1.4041992
326418385	ACC	1.043872	9.642648	1.4496891
326418395	ACC	1.0007763	9.643845	1.484405
326418406	ACC	0.9528923	9.64983	1.411382
326418415	ACC	0.8846575	9.636662	1.3371617
326418425	ACC	0.81163436	9.653421	1.3347675
326418435	ACC	0.81522566	9.654618	1.3826514
326418445	ACC	0.79966336	9.629479	1.4101849
326418455	ACC	0.8439561	9.646238	1.42455
326418465	ACC	0.91578215	9.660604	1.4772224
326418475	ACC	0.93493575	9.660604	1.5131354
326418485	ACC	0.9672575	9.672575	1.3754689
326418495	ACC	0.9576807	9.698911	1.3682863
326418505	ACC	0.90979666	9.702502	1.3862427
326418515	ACC	0.8595184	9.680955	1.3742718
326418525	ACC	0.82001406	9.694122	1.388637
326418535	ACC	0.81522566	9.680955	1.4041992
326418545	ACC	0.8726865	9.659407	1.5107412
326418555	ACC	0.92057055	9.630676	1.5370775
326418565	ACC	0.9564836	9.599552	1.5298948
326418575	ACC	0.997185	9.564836	1.4987702
326418585	ACC	0.985214	9.574412	1.4257472
326418596	ACC	1.0187328	9.555259	1.3503298
326418606	ACC	1.0235212	9.561244	1.3060371
326418616	ACC	1.1085154	9.570822	1.2557588
326418626	ACC	1.1504139	9.574412	1.1887212
326418636	ACC	1.1587936	9.56723	1.2617443
326418646	ACC	1.1994951	9.592369	1.3251907
326418656	ACC	1.1540052	9.592369	1.3299791
326418666	ACC	1.0905589	9.624691	1.3670892
326418676	ACC	1.0163386	9.631873	1.3215994
326418686	ACC	0.94930094	9.662998	1.30484
326418696	ACC	0.878672	9.668983	1.2952632
